,2007/1/1,2007/2/1,2007/3/1,2007/4/1,2007/5/1,2007/6/1,2007/7/1,2007/8/1,2007/9/1,2007/10/1,2007/11/1,2007/12/1,2008/1/1,2008/2/1,2008/3/1,2008/4/1,2008/5/1,2008/6/1,2008/7/1,2008/8/1,2008/9/1,2008/10/1,2008/11/1,2008/12/1,2009/1/1,2009/2/1,2009/3/1,2009/4/1,2009/5/1,2009/6/1,2009/7/1,2009/8/1,2009/9/1,2009/10/1,2009/11/1,2009/12/1,2010/1/1,2010/2/1,2010/3/1,2010/4/1,2010/5/1,2010/6/1,2010/7/1,2010/8/1,2010/9/1,2010/10/1,2010/11/1,2010/12/1,2011/1/1,2011/2/1,2011/3/1,2011/4/1,2011/5/1,2011/6/1,2011/7/1,2011/8/1,2011/9/1,2011/10/1,2011/11/1,2011/12/1,2012/1/1,2012/2/1,2012/3/1,2012/4/1,2012/5/1,2012/6/1,2012/7/1,2012/8/1,2012/9/1,2012/10/1,2012/11/1,2012/12/1,2013/1/1,2013/2/1,2013/3/1,2013/4/1,2013/5/1,2013/6/1,2013/7/1,2013/8/1,2013/9/1,2013/10/1,2013/11/1,2013/12/1,2014/1/1,2014/2/1,2014/3/1,2014/4/1,2014/5/1,2014/6/1,2014/7/1,2014/8/1,2014/9/1,2014/10/1,2014/11/1,2014/12/1,2015/1/1,2015/2/1,2015/3/1,2015/4/1,2015/5/1,2015/6/1,2015/7/1,2015/8/1,2015/9/1,2015/10/1,2015/11/1,2015/12/1,2016/1/1,2016/2/1,2016/3/1,2016/4/1,2016/5/1,2016/6/1,2016/7/1,2016/8/1,2016/9/1,2016/10/1,2016/11/1,2016/12/1,2017/1/1,2017/2/1,2017/3/1,2017/4/1,2017/5/1,2017/6/1,2017/7/1,2017/8/1,2017/9/1,2017/10/1,2017/11/1,2017/12/1
重庆,13320.22122,13311.1204,13302.90031,13293.79949,13284.99225,13275.89144,13790,11837,14639,12647,13332,15599,15381,13823,11137,10252,11046,12401,10414,10977,9973,10616,12899,9590,9406,10934,11886,12022,12926,13254,12940,12656,13152,13672,12206,11965,11958,11887,13209,12327,12923,12349,12958,16925,16750,19382,22585,23845,22674,23616,24183,20731,21267,22419,20827,22398,22353,22530,24632,25114,23720,24553,25343,25213,28161,27033,24541,20650,18530,22942,27353,25143,25130,26902,27248,26673,25999,25845,24889,23933,24220,26443,23426,22202,23390,22572,22838,21316,21212,21369,21278,20448,19546,19707,18065,20488,19479,20818,19627,20831,20596,19842,20384,21571,20161,20949,21678,22849,23461,21590,23564,22639,22370,23341,19446,20289,18359,21052,19928,20486,20604.93484,20801.51632,20979.07378,21175.65527,21365.89541,21562.47689,21752.71703,21949.29851,22145.87999,22336.12014,22532.70162,22722.94176
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
成都,1996.934256,2733.770413,3399.299845,4136.136002,4849.203251,5586.039407,6299.106656,7786,7353,8140,8149,11025,10924,9837,9413,8757,10032,9017,8719,9008,8910,8817,9133,10311,11085,11569,13641,16037,18568,20571,19177,19841,18928,21316,22234,21991,21282,21565,22281,22115,22674,22333,22593,23668,25698,25526,27425,28147,27248,27556,31442,28087,29357,29019,29768,31491,28851,29752,27774,34025,30274,34929,37822,38400,39148,37139,37644,33952,32908,35845,36550,37454,37625,37885,37495,36885,36309,33561,34482,36489,36585,31555,32043,31869,31013,30306,30767,26585,27058,25015,25798,24231,22193,23309,23976,22795,24032,23239,24523,23189,23163,24178,25797,24594,25151,24125,26545,25502,26172,27496,26860,26733,26379,26682,27327,29252,29389,29427,29078,27815,28035.97928,27713.07249,27421.41476,27098.50798,26786.01754,26463.11076,26150.62033,25827.71355,25504.80677,25192.31633,24869.40955,24556.91912
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
广州,460,460.3648907,1440.463092,2525.571815,3575.677031,4660.785754,5710.890969,6795.999692,8860,8846,9493,10315,10925,14619,14477,16058,21213,20120,21922,16294,15060,16310,18119,18755,17562,16908,17202,17306,17515,22099,26358,32846,27866,40360,46435,50202,42405,43775,43398,48046,43621,39795,39038,40672,39596,43436,50382,46051,47464,52490,43754,42743,43177,44023,45274,40964,41053,38972,39567,47852,40632,37449,37900,39227,37003,33235,32393,36926,32267,31398,29670,31281,29119,32920,32865,29105,31674,26596,28113,27709,24643,27115,23570,27379,29401,28695,27205,30785,29167,27049,27814,26888,26713,28022,27005,28962,29088,28829,32622,26967,25362,26792,39313,38028,36679,37629,38361,43478,41175.53988,41829.54054,42441.3476,43095.34825,43728.2521,44382.25275,45015.15661,45669.15726,46323.15791,46956.06177,47610.06242,48242.96627,48896.96692,49550.96758,50141.67784,50795.67849,51428.58235,52082.583,52715.48685,53369.48751,54023.48816,54656.39201,55310.39266,55943.29652
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
昆明,4342.222943,5007.258251,5607.935304,6272.970612,6916.553169,7581.588477,8225.171033,8890.206342,8533,10488,11159,12262,12521,13417,12215,13382,13492,14070,14013,13521,14169,15453,16820,17699,18047,18757,20898,19966,19970,18548,16954,19076,23745,22970,23871,24568,24089,24009,22276,24009,21001,21213,20832,16450,21022,20076,22766,17930,19531,22097,23294,25722,27076,27830,27205,25930,23527,24390,24016,24510,23213,21944,20192,21301,22411,23840,22168,22652,22370,20352,22334,20843,21067,16064,18111,17474,17179,18250,17796,14428,14798,13960,15984,18236,16337,14636,16223,16408,15223,14621,15037,14221,14184,14244,14225,13190,12865,13863,15413,15322,16795,16269,16513,16848,17419,17124,17981,17637,17977.66369,18181.1978,18371.60069,18575.1348,18772.1033,18975.63741,19172.60591,19376.14003,19579.67414,19776.64264,19980.17676,20177.14525,20380.67937,20584.21348,20768.05075,20971.58486,21168.55336,21372.08748,21569.05598,21772.59009,21976.12421,22173.09271,22376.62682,22573.59532
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南京,6388.189432,7084.545797,7713.512836,8409.8692,9083.762457,9780.118821,10454.01208,11150.36844,12689,11899,12479,14576,14796,13753,17089,17906,18104,16508,18365,19524,19108,19303,19349,19240,18956,18314,17892,17050,18904,19126,20565,20741,19757,19976,20528,20659,21115,22201,21214,22178,23262,22391,22084,19941,19550,19365,20985,20536,22967,23286,22955,23080,22985,23249,23190,23230,23661,24289,23503,23416,24365,22523,22100,22466,23038,24149,25653,23719,24748,23219,22456,24144,23891,20601,20080,19357,19668,22144,20922,20788,20862,20540,20438,19832,20885,21567,20510,22107,22579,21832,22711,22561,24411,24481,25015,26190,30086,25992,28235,26570,26601,26274,29785,31394,31465,29206,31096,31721,32534.17774,33141.81551,33710.25085,34317.88862,34905.92517,35513.56294,36101.59949,36709.23726,37316.87504,37904.91159,38512.54936,39100.58591,39708.22368,40315.86145,40864.69557,41472.33334,42060.36989,42668.00766,43256.04422,43863.68199,44471.31976,45059.35631,45666.99408,46255.03064
